Location,Code,Object,Text,,,,,,,,,
1,bob3,,"Гей, ти що робиш? Ніхто не казав тобі читати цей код! [Візьміть картку №39.]",,,,,,,,,
1,i3x3,Лампа + Сірники,У мене немає з собою сірників; я викинув їх у вікно і так і не забрав.,,,,,,,,,
1,m8g2,Острів Канталуп + Мобільний телефон,"Чоловік у магазині сказав, що цією штукою можна робити фото. Навіщо мені фото мене і мобільного телефона? Я вже не розумію цей світ.",,,,,,,,,
1,d6b3,,"Гей, ніхто не дозволяв тобі це читати! Переконайся, що читаєш лише те, що дозволено. Почни з огляду об'єктів праворуч.",,,,,,,,,
1,i4c0,Лампа + Сірники,"Так, гадаю, я міг би використати це, щоб їх висушити. Ось так, тепер вони мають бути готові. [Викресліть F1 та K2.]",,,,,,,,,
1,h5p4,Острів Канталуп + Чайні пакетики,Читайте i2p1.,,,,,,,,,
1,i4c7,Лампа + Сірники,Але сірники вже сухі.,,,,,,,,,
1,i2p1,,"О, мушу попередити: у майбутньому, якщо ти поєднаєш два предмети, які не пасують один одному, я можу тобі про це нагадати. Не зараз, звісно, бо це перша локація, але надалі, якщо спробуєш хлюпнути водою на розетку чи втнути щось настільки ж «геніальне», я висловлю свою «думку» з цього приводу. Тож зроби нам усім послугу і приймай розумні рішення, гаразд? Дякую.",,,,,,,,,
1,i5x9,Лампа + Чайні пакетики,Вони вже сухі.,,,,,,,,,
1,i3b4,Лампа + Мобільний телефон,Читайте i2p1.,,,,,,,,,
1,i3b6,Лампа + Одяг,[Якщо D4 або D5: Читайте i3k4. Інакше:] Він сухий.,,,,,,,,,
1,i3k4,Лампа + Одяг,"Гарна ідея, але він уже висох дорогою сюди.",,,,,,,,,
1,i3p5,Оглянути лампу,"Я майже не вимикаю її. Вона така гаряча, що я сушу на ній сорочки.",,,,,,,,,
1,i3t7,Лампа + Сірники,"[Якщо K2: Читайте i4c7. Якщо K9: Читайте i4c0. Якщо F2: Читайте i3x3. Інакше:] Гадаю, ця лампа досить гаряча, щоб висушити сірники. Річ у тім... вони все ще у в'язниці.",,,,,,,,,
1,m1e5,Чайні пакетики,"Вони були тут, коли я приїхав. І в них ду-у-уже давно минув термін придатності. Чувак, я навіть не знав, що тоді взагалі РОБИЛИ чай. Але я візьму трохи, звісно. [Викресліть D8. Візьміть картку №21.]",,,,,,,,,
1,m1i0,,"[Ти пропустив навчання, еге ж? Коли ти поєднуєш два предмети або використовуєш лупу на предметі, ти повинен читати відповідний код в інвентарі, а не в локації, де ти зараз перебуваєш. Тож, чого ти чекаєш? Відкрий інвентар і прочитай m1i0 там.]",,,,,,,,,
1,m1r2,Маяк,"Поки що це буде моєю базою. Він бачив кращі часи, це правда, але гей — принаймні календар свіжий!",,,,,,,,,
1,m8i0,Оглянути Острів Канталуп,Я бачу Особняк Вайта вдалині. Вже недовго залишилося. Але спершу мені треба знайти команду.,,,,,,,,,
1,x5m8,,"З половиною команди розібралися. Тепер мені просто треба придумати, як стягнути Алісу з тієї сцени.",,,,,,,,,
1,z9z3,,"Гей, ти що робиш? Ніхто не казав тобі читати цей код! [Візьміть картку №39.]",,,,,,,,,
2,b0b3,,"Гей, ти що робиш? Ніхто не казав тобі читати цей код! [Візьміть картку №39.]",,,,,,,,,
2,k4m1,Плакат + Мобільний телефон,"Глянемо, коли вони відчинені. [Ви набираєте номер з плаката; за мить комп'ютерний голос каже: «Набраний вами номер не обслуговується».] Дідько, та байдуже. Це бар; мабуть, відчиняється ввечері.",,,,,,,,,
2,c1h8,Поштова скринька + Магніт,Підтверджено: вона магнітна.,,,,,,,,,
2,c1r9,Поштова скринька + Цегла,"Нє-а, сьогодні я не в настрої щось трощити.",,,,,,,,,
