Number,Problem,Tip 1,Tip 2,Solution
100,I don't know how to leave the lighthouse.,"Look around the lighthouse, especially downstairs.",Check out the mailbox outside the lighthouse.,"In location 02, combine the mailbox with the magnifying glass to get a postcard and trigger h2."
101,I have no clue how to get to the bar.,"Look around the lighthouse, especially downstairs.",Check out the poster outside the lighthouse.,"In location 02, combine the poster with the magnifying glass to trigger d3."
102,How do I get past the bouncer (location 12)?,The bouncer is a collector. What's a common thing people collect?,Have a very close look at literally everything you got so far.,The stamp on the reverse of the postcard has a hidden code: rotate the card by 180° and combine it with the bouncer to trigger e9.
103,I feel like I'm missing something.,Check out all the places you can access.,Check out the church tower.,"In location 20, pick up the magnet on the right to trigger c6."
104,How do I get the key off the bar shelf (location 13)?,You won't get past the barkeeper. Take a look at the evacuation plan.,Go to the hallway and let science do its thing.,"In location 14, combine the bar door with the magnet to get a rusty key and trigger f7."
105,How do I get into the Blue Mamba bathroom?,How does one get inside a locked room anyway?,Use the key.,"In location 14, combine the WC door with the rusty key to trigger e4."
106,I feel like I'm missing something.,Check out all the places you can access.,Check out the church.,"In location 19, pick up a coin from the candle vendor to trigger f5."
107,What am I supposed to do in the Blue Mamba bathroom?,"Better safe than sorry, amirite?",Check out the vending machine.,Combine the vending machine with the coin to get a pack of condoms and trigger c9.
108,What am I supposed to do in the Blue Mamba bathroom?,You want to get rid of the barkeeper by keeping him busy.,Clog up the toilet.,Combine the toilet with the condoms to trigger h1.
109,I feel like I'm missing something.,Check out all the places you can access.,Check out the Blue Mamba bathroom.,"In location 15, pick up the lead pipe near the urinals to trigger g7."
110,I need running water in the Blue Mamba bathroom.,There's a pipe coming from the toilet. Follow it.,Check out the valve in front of the bar.,"In location 12, combine the valve with the lead pipe to trigger g9 and thus c4."
111,I made a mess in the Blue Mamba bathroom. Now what?,"This might serve as an excellent distraction, don't you think?",Go tell the barkeeper.,Go to scene A and read the new dialog option (for c4) to trigger b1.
112,Where do I get a light source for the basement?,Sometimes we get our best ideas when we focus on something else.,"There are two main objectives, you know.",You need to get ahead in the BREAKING FLY OUT story arc first.
113,Where do I get a light source for the basement?,Check out all the places you can access.,Check out the prison guard's room.,"In location 08, pick up the matches from the floor to trigger g6."
114,How do I get the matches out of the prison?,Not through the front door-that's for sure.,"You got stuff in, didn't you?","In location 08, combine the window with the matches to trigger f2."
115,I threw the matches out of the window. Now what?,Where did you throw them?,Check out the trash can behind the prison.,"In location 04, combine the trash can with the magnifying glass to retrieve the matches and trigger k9."
116,I got the matches out but they're wet!,You need to find a heat source.,Check out your base of operations.,"In location 01, combine the lamp with the matches to trigger f1 and thus k2."
117,How can I light up the dark corner in the basement?,"You have a light source, don't you?",Light a match or two.,Combine the dark corner with the matches to trigger j6.
118,What am I supposed to do with the fuse box?,This is not a puzzle.,"Seriously, just flip the switch.",Combine the fuse box with the magnifying glass to trigger b2.
119,I had a chat with Alice. Now what?,Don't you have other things to do?,"There is another main objective, you know.",You're done with this story arc. Now finish BREAKING FLY OUT.
200,I don't know how to leave the lighthouse.,"Look around the lighthouse, especially downstairs.",Check out the mailbox outside the lighthouse.,"In location 02, combine the mailbox with the magnifying glass to get a postcard and trigger h2."
201,I need to get inside the prison.,Have you tried walking through the front door?,Talk to the guard.,"In location 03, combine the guard with the magnifying glass to trigger e7."
202,"OK, I'm in the prison hallway. Now what?",What did you come here for?,Go to the visiting area and talk to Fly.,Go to scene C to trigger b4.
203,I don't know what to do in Fly's bathroom.,Look around.,Check out the beauty products.,"In location 18, check out the beauty products to trigger a8."
204,Stuck in location 18?,Look around.,Check out the shelves near the door.,Pick up the dental floss between the beauty products.
205,I can't find the transmitter in Fly's bathroom.,Look around.,Check out the mirror.,Combine the mirror with the magnifying glass to get the transmitter and trigger c3.
206,How am I supposed to fix the switch?,Find out what's wrong with it.,Find a way to prevent the switch from flipping back.,Combine the switch with the dental floss to trigger c2.
207,I can't leave Fly's bathroom.,Look around. You must have missed something.,Those clothes might come in handy.,Grab the clothes hanging on the shower curtain to trigger a6.
208,I think I'm done with Fly's bathroom.,You should ask the lady.,Check out the door.,Cross off k6. Then go to scene F and read the new dialog option (for k6).
209,I don't know what to do next.,You told Fly you'd dress up as a guard.,Figure out what the prison guards wear.,"In location 03, combine the poster with the magnifying glass to trigger j9."
210,I feel like I'm missing something.,Check out all the places you can access.,Check out your base of operations.,"In location 01, pick up the tea bags to trigger d8."
211,I need help finding a uniform.,You should dye the clothes you got from Fly's bathroom.,Look around for a pool of water to dye the clothes.,"In location 19, combine the holy water basin with the tea bags to trigger h3."
212,I made some tea in the church. Now what?,What color is the water now?,It seems to have the same color as the guard's shirt.,Combine the holy water basin with the clothes to trigger d4.
213,I dyed the shirt yellow. Now what?,Have you been to the bar yet?,Check out the poster at the lighthouse.,"In location 02, combine the poster with the magnifying glass to trigger d3."
214,I dyed the shirt yellow. Now what?,Have you been to the bar yet?,Talk to the bouncer.,Go to scene J to get a cocktail and trigger e2.
215,I dyed the shirt yellow. Now what?,You still need green pants.,How does one turn yellow green?,"In location 19, combine the holy water basin with the cocktail to trigger h4."
216,I dyed the shirt yellow. Now what?,What color is the holy water again?,It seems to have the same color as the guard's pants.,"In location 19, combine the holy water basin with the clothes to trigger d5."
217,I feel like I'm missing something.,Look around all the places you can access.,One man's trash is another man's treasure.,"In location 04, combine the trash can with the magnifying glass to get cereal and trigger e1."
218,I'm missing a badge for my fake uniform.,Look inside the box of cereal.,Have a good look at your items.,"The box says ""toy 1nside!"" Read t0y1 in the inventory to get a toy badge and trigger g5."
219,Close to faking a uniform. Missing something?,Try putting it all together.,Attach the toy badge to the dyed clothes.,Combine clothes with toy badge to form a fake uniform and trigger d6 and thus k7.
220,I feel like I'm missing something.,Look around all the places you can access.,Check out the church tower.,"In location 20, pick up the magnet on the right to trigger c6."
221,I found something below a container (location 04).,It might be made of metal.,It might be magnetic even.,Combine the container with the magnet to get a coat hanger and trigger f3.
222,I don't know what to do with this coat hanger.,What is it used for anyway?,Try hanging some clothes on it.,Combine the coat hanger with the fake uniform to trigger e6.
223,I feel like I'm missing something.,Look around all the places you can access.,Check out the church tower.,"In location 20, pull out the brick from the wall to trigger a7."
224,I don't know what to do with this brick.,MacGyver it up!,This brick comes with no strings attached.,Combine the dental floss with the brick to trigger a9.
225,Can't find a way to get stuff into the prison.,You should really try from a different angle.,I hear towers lend themselves for throwing.,"In location 20, combine the view with the brick to trigger k5."
226,I got a zip line up and running.,It's not supposed to hold your weight.,You can hang stuff on it and let it slide.,Combine the zip line with the fake uniform to trigger b9.
227,I don't know how to get the prison blueprints.,Sometimes focus on something else for a while.,"There are two main objectives, you know.",You need to get ahead in THE WOMAN IN RED story arc first.
228,I feel like I'm missing something.,Look around all the places you can access.,Check out the bar.,"In location 13, pick up the bottle from the table to trigger c8."
229,I don't know what to do with this bottle.,What are bottles used for?,Fill the bottle with water.,"In location 19, combine the holy water basin with the bottle to trigger d9."
230,I need to get rid of the secretary (location 17).,She won't leave of her own volition.,Drug her.,Combine the secretary with the cocktail to trigger j3.
231,I need a key card for the archive.,You could get one from the PO box.,Key cards float.,Combine the PO box with the bottle to get a key card and trigger f9.
232,How to get blueprints?,They should be in the national archive.,You have a key card... use it!,"In location 17, combine the key card reader with the keycard to trigger k8."
