Location,Code,Object,Text
1,bob3,,"Hey, what are you doing? Nobody told you to read this code! [Take card #39.]"
1,i3x3,Lamp + Matches,I don't have the matches on me; I've thrown them out of a window and never retrieved them.
1,m8g2,Cantaloop Island + Cell Phone,The man in the store said I can take photos with this thing. Why would I want a photo of myself and a cell phone? I don't understand the world anymore.
1,d6b3,,"Hey, nobody told you to read this! Always make sure you only read what you are allowed to. Start with inspecting the objects on the right."
1,i4c0,Lamp + Matches,"Yeah, I guess I could use this to dry them. There, now they should be good to go. [Cross off F1 and K2.]"
1,h5p4,Cantaloop Island + Tea Bags,Read i2p1.
1,i4c7,Lamp + Matches,But the matches are already dry.
1,i2p1,,"Oh, I should warn you: In the future, if you combine two objects that don't go together, I might call you out on it. Not now, I mean, because this is the first location but, in the future, if you try to splash water on a wall socket or something equally brilliant I'll let you know my ""opinion"" on that. So just do us all a favor and make smart decisions, OK? Thank you."
1,i5x9,Lamp + Tea Bags,They're already dried.
1,i3b4,Lamp + Cell Phone,Read i2p1.
1,i3b6,Lamp + Clothes,[If D4 or D5: Read i3k4. Otherwise:] They're dry.
1,i3k4,Lamp + Clothes,"Good idea, but they already dried on the way here."
1,i3p5,Inspect Lamp,I leave it on most of the time. It's so hot that I use it to dry my shirts.
1,i3t7,Lamp + Matches,[If K2: Read i4c7. If K9: Read i4c0. If F2: Read i3x3. Otherwise:] I guess this lamp is hot enough to dry the matches. Thing is ... they're still inside the prison.
1,m1e5,Tea Bags,"These were here when I arrived. And they're waaay past their expiration date. Dude, I didn't even know they MADE tea back then. But I'll take some, sure. [Cross off D8. Take card #21.]"
1,m1i0,,"(You skipped the tutorial, didn't you? When you combine two items or use the Magnifying Glass on an item, you must read the corresponding code in the inventory, not the location you are currently in. So, what are you waiting for? Open your inventory and read m1i0 there.]"
1,m1r2,Lighthouse,"This'll be my base of operations for now. It's seen better times, true, but hey-at least the calendar's up to date!"
1,m8i0,Inspect Cantaloop Island,"I can see White Mansion in the distance. Not much longer now. But first, I'll have to find a crew."
1,x5m8,,That's one half of my crew taken care of. Now I just gotta figure out a way to get Alice off that stage.
1,z9z3,,"Hey, what are you doing? Nobody told you to read this code! [Take card #39.]"
2,b0b3,,"Hey, what are you doing? Nobody told you to read this code! [Take card #39.]"
2,k4m1,Poster + Cell Phone,"Let's see when it's open. [You dial the number on the poster; a fraction of a second later, a computer voice says: ""The number you dialed is not a working number.""] Rats, whatever. It's a bar; it's probably open in the evening hours."
2,c1h8,Mailbox + Magnet,Confirmed: it's magnetic.
2,c1r9,Mailbox + Brick,"Nah, not feeling particularly destructive today."
2,d4b1,Van,"Yeah, the old van. We've been through a lot together. Germany, mostly."
2,d6i0,Inspect Mailbox,"Hey look at that, a postcard! Jeez, it's so old it almost falls apart. Gotta be careful with that one. [Cross off H2. Take the postcard. From now on, you can use it to travel to any location (or scene) you see written there. Whenever you want to leave the location you're currently at, just choose a different location from there. You can do this at any time. Some locations are locked-they require certain triggers be crossed off. This usually happens when Hook hears about a new location.) Alright, where to first?"
2,k3i0,Inspect Door,"Looks like a door from a bathroom stall. A graffiti tag says ""Hey, put that back in your pants!"""
2,k4b4,Poster + Cell Phone,[If D3: Read k4m1. Otherwise:] I should probably look at this poster first before I try something funny.
2,k4p5,Inspect Poster,"It's a poster for the Blue Mamba, a jazz club here in town. ""Alice and the Cornerstones"" are playing there. A jazz singer, huh? She might be the ideal candidate for a Woman in Red. [Cross off D3.]"
2,z6h3,Trash,"Searching through trash? Of course, why wouldn't I? Not like the only difference between me and a hobo is that I actually keep the really useless stuff."
2,z9z3,,"Hey, what are you doing? Nobody told you to read this code! [Take card #39.]"
3,b0b3,,"Hey, what are you doing? Nobody told you to read this code! [Take card #39.]"
