Number,Problem,Tip 1,Tip 2,Solution
100,"Я не знаю, как уйти с маяка.","Осмотри маяк, особенно внизу.",Проверь почтовый ящик снаружи маяка.,"В локации 02 совмести почтовый ящик с лупой, чтобы получить открытку и активировать h2."
101,"Понятия не имею, как добраться до бара.","Осмотри маяк, особенно внизу.",Взгляни на плакат снаружи маяка.,"В локации 02 совмести плакат с лупой, чтобы активировать d3."
102,Как мне пройти мимо Вышибалы (локация 12)?,Вышибала — коллекционер. Что люди обычно коллекционируют?,"Очень внимательно осмотри буквально всё, что ты успел раздобыть.","Марка на обороте открытки содержит скрытый код: переверни карточку на 180° и совмести её с Вышибалой, чтобы активировать e9."
103,"Кажется, я что-то упускаю.","Проверь все места, куда у тебя есть доступ.",Осмотри церковную башню.,"В локации 20 подбери магнит справа, чтобы активировать c6."
104,Как стянуть ключ с полки бара (локация 13)?,Мимо бармена не проскочишь. Взгляни на план эвакуации.,Иди в коридор и позволь науке сделать свое дело.,"В локации 14 совмести дверь бара с магнитом, чтобы получить ржавый ключ и активировать f7."
105,Как попасть в туалет «Голубой Мамбы»?,А как вообще попадают в запертую комнату?,Используй ключ.,"В локации 14 совмести дверь туалета с ржавым ключом, чтобы активировать e4."
106,"Кажется, я что-то упускаю.","Проверь все места, куда у тебя есть доступ.",Загляни в церковь.,"В локации 19 возьми монету у продавца свечей, чтобы активировать f5."
107,Что мне делать в туалете «Голубой Мамбы»?,"Береженого Бог бережет, скажи?",Проверь торговый автомат.,"Совмести автомат с монетой, чтобы получить пачку презервативов и активировать c9."
108,Что мне делать в туалете «Голубой Мамбы»?,"Ты хочешь избавиться от бармена, заняв его работой.",Засори унитаз.,"Совмести унитаз с презервативами, чтобы активировать h1."
109,"Кажется, я что-то упускаю.","Проверь все места, куда у тебя есть доступ.",Загляни в туалет «Голубой Мамбы».,"В локации 15 подбери свинцовую трубу возле писсуаров, чтобы активировать g7."
110,Мне нужна вода в туалете «Голубой Мамбы».,От туалета идет труба. Следуй за ней.,Проверь вентиль перед баром.,"В локации 12 совмести вентиль со свинцовой трубой, чтобы активировать g9, а значит и c4."
111,Я устроил бардак в туалете «Голубой Мамбы». Что теперь?,"Это может стать отличным отвлекающим маневром, как думаешь?",Иди скажи бармену.,"Перейди к сцене A и прочитай новый вариант диалога (для c4), чтобы активировать b1."
112,Где взять источник света для подвала?,"Иногда лучшие идеи приходят, когда фокусируешься на чем-то другом.","Есть две основные цели, знаешь ли.",Сначала тебе нужно продвинуться в сюжетной линии ОСВОБОЖДЕНИЕ МУХИ [BREAKING FLY OUT].
113,Где взять источник света для подвала?,"Проверь все места, куда у тебя есть доступ.",Осмотри комнату охраны в тюрьме.,"В локации 08 подбери спички с пола, чтобы активировать g6."
114,Как мне вынести спички из тюрьмы?,Точно не через парадную дверь.,"Ты же как-то забросил вещи внутрь, верно?","В локации 08 совмести окно со спичками, чтобы активировать f2."
115,Я выбросил спички в окно. Что теперь?,Куда ты их бросил?,Проверь мусорный бак на заднем дворе тюрьмы.,"В локации 04 совмести мусорный бак с лупой, чтобы достать спички и активировать k9."
116,"Я достал спички, но они мокрые!",Тебе нужен источник тепла.,Проверь свою оперативную базу.,"В локации 01 совмести лампу со спичками, чтобы активировать f1, а значит и k2."
117,Как осветить темный угол в подвале?,"У тебя же есть источник света, верно?","Зажги спичку, а лучше две.","Совмести темный угол со спичками, чтобы активировать j6."
118,Что мне делать с щитком предохранителей?,Это не головоломка.,"Серьезно, просто щелкни выключателем.","Совмести щиток предохранителей с лупой, чтобы активировать b2."
119,Я поболтал с Алисой. Что теперь?,Разве у тебя нет других дел?,"Есть еще одна главная цель, знаешь ли.",Ты закончил с этой сюжетной веткой. Теперь заверши ОСВОБОЖДЕНИЕ МУХИ [BREAKING FLY OUT].
200,"Я не знаю, как уйти с маяка.","Осмотри маяк, особенно внизу.",Проверь почтовый ящик снаружи маяка.,"В локации 02 совмести почтовый ящик с лупой, чтобы получить открытку и активировать h2."
201,Мне нужно попасть в тюрьму.,А ты пробовал войти через парадную дверь?,Поговори с охранником.,"В локации 03 совмести охранника с лупой, чтобы активировать e7."
202,"Ладно, я в тюремном коридоре. Что дальше?",А зачем ты сюда приперся?,Иди в зону для посетителей и поговори с Мухой.,"Перейди к сцене C, чтобы активировать b4."
203,"Я не знаю, что делать в туалете Мухи.",Осмотрись.,Зацени косметику.,"В локации 18 проверь косметические средства, чтобы активировать a8."
204,Застрял в локации 18?,Осмотрись.,Проверь полки у двери.,Возьми зубную нить между косметическими средствами.
205,Не могу найти передатчик в туалете Мухи.,Осмотрись.,Проверь зеркало.,"Совмести зеркало с лупой, чтобы получить передатчик и активировать c3."
206,Как мне починить выключатель?,"Выясни, что с ним не так.",Найди способ не дать переключателю щелкнуть обратно.,"Совмести выключатель с зубной нитью, чтобы активировать c2."
207,Я не могу выйти из туалета Мухи.,Осмотрись. Ты точно что-то упустил.,Та одежда может пригодиться.,"Хватай шмотки, висящие на шторке для душа, чтобы активировать a6."
208,"Кажется, я закончил в туалете Мухи.",Тебе стоит спросить у той дамы.,Проверь дверь.,Вычеркни k6. Затем перейди к сцене F и прочитай новый вариант диалога (для k6).
209,"Я не знаю, что делать дальше.","Ты обещал Мухе, что переоденешься охранником.","Выясни, что носят тюремные надзиратели.","В локации 03 совмести плакат с лупой, чтобы активировать j9."
210,"Кажется, я что-то упускаю.","Проверь все места, куда у тебя есть доступ.",Проверь свою оперативную базу.,"В локации 01 возьми чайные пакетики, чтобы активировать d8."
211,Мне нужна помощь с поиском униформы.,"Тебе следует покрасить одежду, которую ты стянул у Мухи.","Поищи какой-нибудь водоем, где можно покрасить вещи.","В локации 19 совмести чашу со святой водой и чайные пакетики, чтобы активировать h3."
212,Я заварил чай в церкви. Что теперь?,Какого цвета теперь вода?,"Кажется, такого же, как рубашка охранника.","Совмести чашу со святой водой с одеждой, чтобы активировать d4."
213,Я покрасил рубашку в желтый. Что дальше?,Ты уже был в баре?,Взгляни на плакат у маяка.,"В локации 02 совмести плакат с лупой, чтобы активировать d3."
214,Я покрасил рубашку в желтый. Что дальше?,Ты уже был в баре?,Поговори с Вышибалой.,"Иди к сцене J, чтобы получить коктейль и активировать e2."
215,Я покрасил рубашку в желтый. Что дальше?,Тебе всё еще нужны зеленые штаны.,Как превратить желтый в зеленый?,"В локации 19 совмести чашу со святой водой с коктейлем, чтобы активировать h4."
216,Я покрасил рубашку в желтый. Что дальше?,Какого цвета теперь святая вода?,"Кажется, такого же, как штаны охранника.","В локации 19 совмести чашу со святой водой с одеждой, чтобы активировать d5."
217,"Кажется, я что-то упускаю.",Осмотрись во всех доступных местах.,"Что для одного мусор, для другого — сокровище.","В локации 04 совмести мусорный бак с лупой, чтобы получить хлопья и активировать e1."
218,Мне не хватает значка для фальшивой формы.,Загляни в коробку с хлопьями.,Внимательно осмотри свои предметы.,"На коробке написано ""toy 1nside!"". Прочитай t0y1 в инвентаре, чтобы получить игрушечный значок и активировать g5."
219,Почти доделал форму. Чего-то не хватает?,Попробуй собрать все вместе.,Прицепи игрушечный значок на покрашенную одежду.,"Совмести одежду со значком, чтобы создать фальшивую униформу и активировать d6, а значит и k7."
220,"Кажется, я что-то упускаю.",Осмотрись во всех доступных местах.,Загляни на церковную башню.,"В локации 20 возьми магнит справа, чтобы активировать c6."
221,Я нашел что-то под контейнером (локация 04).,"Может, оно сделано из металла.","Может, оно даже магнитится.","Совмести контейнер с магнитом, чтобы достать вешалку и активировать f3."
222,"Не знаю, что делать с этой вешалкой.",Для чего она вообще нужна?,Попробуй повесить на нее одежду.,"Совмести вешалку с фальшивой формой, чтобы активировать e6."
223,"Кажется, я что-то упускаю.",Осмотрись во всех доступных местах.,Загляни на церковную башню.,"В локации 20 вытащи кирпич из стены, чтобы активировать a7."
