Location,Code,Object,Text
1,bob3,,"Эй, ты что делаешь? Никто не говорил тебе читать этот код! [Возьмите карту №39.]"
1,i3x3,Лампа + Спички,У меня нет с собой спичек; я выбросил их в окно и так и не забрал.
1,m8g2,Остров Канталуп + Мобильный телефон,"Мужик в магазине сказал, что этой штукой можно делать фото. Зачем мне фото меня и телефона? Я перестаю понимать этот мир."
1,d6b3,,"Эй, никто не разрешал тебе это читать! Убедись, что читаешь только то, что разрешено. Начни с осмотра объектов справа."
1,i4c0,Лампа + Спички,"Да, думаю, я мог бы использовать это, чтобы их высушить. Вот так, теперь они должны быть готовы. [Вычеркните F1 и K2.]"
1,h5p4,Остров Канталуп + Чайные пакетики,Читайте i2p1.
1,i4c7,Лампа + Спички,Но спички уже сухие.
1,i2p1,,"О, должен предупредить: в будущем, если ты совместишь два предмета, которые не подходят друг другу, я могу тебе об этом напомнить. Не сейчас, конечно, потому что это первая локация, но в будущем, если попробуешь плеснуть водой на розетку или выкинуть что-то столь же «гениальное», я выскажу свое «мнение» на этот счет. Так что сделай нам всем одолжение и принимай умные решения, ладно? Спасибо."
1,i5x9,Лампа + Чайные пакетики,Они уже сухие.
1,i3b4,Лампа + Мобильный телефон,Читайте i2p1.
1,i3b6,Лампа + Одежда,[Если D4 или D5: Читайте i3k4. Иначе:] Она сухая.
1,i3k4,Лампа + Одежда,"Хорошая идея, но она уже высохла по дороге сюда."
1,i3p5,Осмотреть лампу,"Я почти не выключаю её. Она такая горячая, что я сушу на ней рубашки."
1,i3t7,Лампа + Спички,"[Если K2: Читайте i4c7. Если K9: Читайте i4c0. Если F2: Читайте i3x3. Иначе:] Думаю, эта лампа достаточно горячая, чтобы высушить спички. Дело в том... что они все еще в тюрьме."
1,m1e5,Чайные пакетики,"Они были здесь, когда я приехал. И у них да-а-авно истек срок годности. Чувак, я даже не знал, что тогда вообще ДЕЛАЛИ чай. Но я возьму немного, конечно. [Вычеркните D8. Возьмите карту №21.]"
1,m1i0,,"[Ты пропустил обучение, да? Когда ты совмещаешь два предмета или используешь лупу на предмете, ты должен читать соответствующий код в инвентаре, а не в локации, где ты сейчас находишься. Ну, чего ты ждешь? Открой инвентарь и прочитай m1i0 там.]"
1,m1r2,Маяк,"Пока что это будет моей базой. Он видал времена и получше, это правда, но эй — по крайней мере, календарь свежий!"
1,m8i0,Осмотреть Остров Канталуп,Я вижу Особняк Вайта вдалеке. Уже недолго осталось. Но сперва мне нужно найти команду.
1,x5m8,,"С половиной команды разобрались. Теперь мне просто нужно придумать, как стащить Алису с той сцены."
1,z9z3,,"Эй, ты что делаешь? Никто не говорил тебе читать этот код! [Возьмите карту №39.]"
2,b0b3,,"Эй, ты что делаешь? Никто не говорил тебе читать этот код! [Возьмите карту №39.]"
2,k4m1,Плакат + Мобильный телефон,"Глянем, когда они открыты. [Вы набираете номер с плаката; через мгновение компьютерный голос говорит: «Набранный вами номер не обслуживается».] Черт, да все равно. Это бар; наверное, открывается вечером."
2,c1h8,Почтовый ящик + Магнит,Подтверждено: он магнитный.
2,c1r9,Почтовый ящик + Кирпич,"Не-а, сегодня я не в настроении что-то крушить."
2,d4b1,Фургон,"Да, старенький фургон. Мы многое пережили вместе. В основном Германию."
2,d6i0,Осмотреть Почтовый ящик,"Эй, вы только поглядите, открытка! Боже, она такая старая, что чуть не рассыпается. Надо с ней поаккуратнее. [Вычеркните H2. Возьмите открытку. Отныне вы можете использовать её для путешествия в любую локацию (или сцену), которая там указана. Когда захотите покинуть текущую локацию, просто выберите другую из списка. Это можно делать в любой момент. Некоторые локации заблокированы — для них нужно вычеркнуть определенные триггеры. Обычно это происходит, когда Хук узнает о новом месте.] Ладно, куда сперва?"
2,k3i0,Осмотреть Дверь,"Похожа на дверь от туалетной кабинки. Граффити гласит: «Эй, спрячь это обратно в штаны!»"
2,k4b4,Плакат + Мобильный телефон,"[Если D3: Читайте k4m1. Иначе:] Наверное, мне стоит сначала взглянуть на этот плакат, прежде чем отчебучить что-то забавное."
2,k4p5,Осмотреть Плакат,"Это афиша «Голубой Мамбы», местного джаз-клуба. Там играют «Алиса и Корнерстоунз». Джазовая певица, а? Она может быть идеальной кандидаткой на роль Женщины в красном. [Вычеркните D3.]"
2,z6h3,Мусор,"Рыться в мусоре? Конечно, почему бы и нет? Не то чтобы единственная разница между мной и бомжом в том, что я реально храню всякий бесполезный хлам."
2,z9z3,,"Эй, ты что делаешь? Никто не говорил тебе читать этот код! [Возьмите карту №39.]"
3,b0b3,,"Эй, ты что делаешь? Никто не говорил тебе читать этот код! [Возьмите карту №39.]"
3,z8b4,Металлоискатель + Мобильный телефон,"Не, так дело не пойдет. Мне приходится оставлять рюкзак у входа, а всё, что я несу на себе, эта штука засекает."
3,z8i5,Металлоискатель + Открытка,"Не думаю, что они будут против куска картона."
3,z8s0,Металлоискатель + Отвертка,"Я почти уверен, что она сделана из металла. Надо пронести её как-то иначе."
3,r6e5,Металлоискатель + Передатчик,"Я почти уверен, что он сделан из металла. Надо пронести его как-то иначе."
3,r6s2,Осмотреть Металлоискатель,"Это одна из тех модных штук-ворот. Если я пронесу через них что-то металлическое, охранник узнает."
3,v9e3,Охранник + Игрушечный значок,"Ага, давай помашем этим у него перед носом... Он, черт возьми, точно поведется. Особенно вблизи, болван."
3,v9i0,Осмотреть Охранника,"Выглядит так, словно вот-вот уснет. Но готов поспорить, он мгновенно проснется, если детектор начнет пищать."
3,v9p5,Охранник + Открытка,"«Взгляните на эту открытку, которую я получил от фаната!» — «Проходи, приятель»."
3,v9s8,Охранник + Отвертка,"Я мошенник, а не убийца."
3,v9t2,Охранник + Презервативы,"(вздыхает) Извини, что разочаровываю, но это тебе не «Ларри в выходном костюме», приятель."
3,z9z3,,"Эй, ты что делаешь? Никто не говорил тебе читать этот код! [Возьмите карту №39.]"
