Number,Problem,Tip 1,Tip 2,Solution
100,"Я не знаю, як піти з маяка.","Роздивись маяк, особливо внизу.",Перевір поштову скриньку зовні маяка.,"У локації 02 поєднай поштову скриньку з лупою, щоб отримати листівку та активувати h2."
101,"Не маю зеленого поняття, як дістатися до бару.","Роздивись маяк, особливо внизу.",Глянь на плакат зовні маяка.,"У локації 02 поєднай плакат із лупою, щоб активувати d3."
102,Як мені пройти повз Вишибалу (локація 12)?,Вишибала — колекціонер. Що люди зазвичай колекціонують?,"Дуже уважно роздивись буквально все, що ти встиг надибати.","Марка на звороті листівки має прихований код: переверни картку на 180° і поєднай її з Вишибалою, щоб активувати e9."
103,"Здається, я щось упускаю.","Перевір усі місця, куди маєш доступ.",Оглянь церковну вежу.,"У локації 20 підбери магніт праворуч, щоб активувати c6."
104,Як стягнути ключ з полиці бару (локація 13)?,Повз бармена не прослизнеш. Глянь на план евакуації.,Йди в коридор і дозволь науці зробити свою справу.,"У локації 14 поєднай двері бару з магнітом, щоб отримати іржавий ключ і активувати f7."
105,"Як потрапити до вбиральні ""Блакитної Мамби""?",А як взагалі потрапляють до замкненої кімнати?,Використай ключ.,"У локації 14 поєднай двері вбиральні з іржавим ключем, щоб активувати e4."
106,"Здається, я щось упускаю.","Перевір усі місця, куди маєш доступ.",Зазирни до церкви.,"У локації 19 візьми монету у продавця свічок, щоб активувати f5."
107,"Що мені робити у вбиральні ""Блакитної Мамби""?","Береженого Бог береже, скажи?",Перевір торговий автомат.,"Поєднай автомат із монетою, щоб отримати пачку презервативів та активувати c9."
108,"Що мені робити у вбиральні ""Блакитної Мамби""?","Ти хочеш позбутися бармена, зайнявши його роботою.",Забий унітаз.,"Поєднай унітаз із презервативами, щоб активувати h1."
109,"Здається, я щось упускаю.","Перевір усі місця, куди маєш доступ.","Зазирни до вбиральні ""Блакитної Мамби"".","У локації 15 підбери свинцеву трубу біля пісуарів, щоб активувати g7."
110,"Мені потрібна вода у вбиральні ""Блакитної Мамби"".",Від туалету йде труба. Іди за нею.,Перевір вентиль перед баром.,"У локації 12 поєднай вентиль зі свинцевою трубою, щоб активувати g9, а отже і c4."
111,"Я влаштував безлад у вбиральні ""Блакитної Мамби"". Що тепер?","Це може стати чудовим відволікаючим маневром, як гадаєш?",Іди скажи бармену.,"Перейди до сцени A і прочитай новий варіант діалогу (для c4), щоб активувати b1."
112,Де взяти джерело світла для підвалу?,"Іноді найкращі ідеї приходять, коли фокусуєшся на чомусь іншому.","Є дві основні цілі, знаєш.",Спершу тобі треба просунутися в сюжетній лінії ВИЗВОЛЕННЯ МУХИ [BREAKING FLY OUT].
113,Де взяти джерело світла для підвалу?,"Перевір усі місця, куди маєш доступ.",Оглянь кімнату охорони у в'язниці.,"У локації 08 підбери сірники з підлоги, щоб активувати g6."
114,Як мені винести сірники з в'язниці?,Точно не через парадні двері.,"Ти ж якось закинув речі всередину, правда?","У локації 08 поєднай вікно із сірниками, щоб активувати f2."
115,Я викинув сірники у вікно. Що тепер?,Куди ти їх кинув?,Перевір сміттєвий бак на задньому дворі в'язниці.,"У локації 04 поєднай сміттєвий бак із лупою, щоб дістати сірники та активувати k9."
116,"Я дістав сірники, але вони мокрі!",Тобі потрібне джерело тепла.,Перевір свою оперативну базу.,"У локації 01 поєднай лампу із сірниками, щоб активувати f1, а отже і k2."
117,Як освітити темний куток у підвалі?,"У тебе ж є джерело світла, чи не так?","Запали сірник, а краще два.","Поєднай темний куток із сірниками, щоб активувати j6."
118,Що мені робити з щитком запобіжників?,Це не головоломка.,"Серйозно, просто клацни вимикачем.","Поєднай щиток запобіжників з лупою, щоб активувати b2."
119,Я побалакав з Алісою. Що тепер?,Хіба в тебе немає інших справ?,"Є ще одна головна мета, знаєш.",Ти закінчив з цією сюжетною гілкою. Тепер заверши ВИЗВОЛЕННЯ МУХИ [BREAKING FLY OUT].
200,"Я не знаю, як піти з маяка.","Роздивись маяк, особливо внизу.",Перевір поштову скриньку зовні маяка.,"У локації 02 поєднай поштову скриньку з лупою, щоб отримати листівку та активувати h2."
201,Мені потрібно потрапити до в'язниці.,А ти пробував увійти через парадні двері?,Поговори з охоронцем.,"У локації 03 поєднай охоронця з лупою, щоб активувати e7."
202,"Гаразд, я в тюремному коридорі. Що далі?",А чого ти сюди приперся?,Йди в зону для відвідувачів і поговори з Мухою.,"Перейди до сцени C, щоб активувати b4."
203,"Я не знаю, що робити у вбиральні Мухи.",Роззирнись.,Заціни косметику.,"У локації 18 перевір косметичні засоби, щоб активувати a8."
