Scene,Trigger,Person,EN,UK,RU
Z,,Mike,Yeah?,Так?,Ага?
Z,,Hook,"Mike, it's Hook. How've you been, pal? ","Майку, це Хук. Як життя, друже?","Майк, это Хук. Как жизнь, дружище?"
Z,,Mike,"No way! You son of a gun! (Sid, know who I got on the line? You won't believe this: It's Hook! Yeah, that's what I've been saying!) Geez, what has it been, like, ten years? ","Та ну! Ах ти ж пройдисвіт! (Сід, знаєш, хто у мене на лінії? Ти не повіриш: це Хук! Так, я саме про це й казав!) Боже, скільки минуло, років десять?","Да ладно! Ах ты прохвост! (Сид, знаешь, кто у меня на проводе? Не поверишь: это Хук! Да, я именно это и говорил!) Боже, сколько прошло, лет десять?"
Z,,Hook,"Well, give or take, yeah. Happy to hear you guys are still together. Say hi to Sid for me. ","Ну, плюс-мінус так. Радий чути, що ви досі разом. Передавай привіт Сід від мене.","Ну, плюс-минус так. Рад слышать, что вы всё ещё вместе. Передавай привет Сид от меня."
Z,,Mike,"(He says hi.) Ha, you should see her face! She can't believe it. And honestly, neither can I! Where have you been all these years? ","(Він передає привіт.) Ха, бачив би ти її обличчя! Вона повірити не може. Чесно кажучи, я теж! Де ти пропадав усі ці роки?","(Он передает привет.) Ха, видел бы ты её лицо! Она поверить не может. Честно говоря, я тоже! Где ты пропадал все эти годы?"
Z,,Hook,"Ah you know, out and about. Switzerland, mostly. ","А, знаєш, то тут, то там. Здебільшого у Швейцарії.","А, знаешь, то тут, то там. В основном в Швейцарии."
Z,,Mike,"Switzerland, eh? ","Швейцарія, еге ж?","Швейцария, да?"
Z,,Hook,"Yeah, you know. Not my favorite place, but the flag is a big plus. ","Ага, знаєш. Не моє улюблене місце, але прапор — це великий плюс.","Ага, знаешь. Не самое моё любимое место, но флаг — это большой плюс."
Z,,,Mike bellows a laugh.,Майк вибухає реготом.,Майк разражается хохотом.
Z,,Mike,"I see your jokes haven't improved. Well, it's good to hear your voice. I've often wondered over the years what you might've been doing... It's good to know you're still alive. ","Бачу, жарти твої кращими не стали. Що ж, радий чути твій голос. Я часто думав усі ці роки, чим ти міг займатися... Добре знати, що ти досі живий.","Вижу, шутки твои лучше не стали. Что ж, рад слышать твой голос. Я часто гадал все эти годы, чем ты мог заниматься... Хорошо знать, что ты всё ещё жив."
Z,,Hook,Thanks. You too.,Дякую. Ти теж.,Спасибо. Ты тоже.
Z,,Mike,But I'm guessing catching up on old stories isn't the only reason you're calling.,"Але, гадаю, ти дзвониш не лише для того, щоб згадати минуле.","Но, полагаю, ты звонишь не только для того, чтобы вспомнить былое."
Z,,Hook,No. I'm afraid not.,"Ні. Боюся, що ні.","Нет. Боюсь, что нет."
Z,,Mike,"Well, let me stop you right there - you're calling at a bad time. I'm not even in Cantaloop right now. I'm at the coast of Bali. Sid and I are going on a cruise, can you believe it? (What's that, honey? Hold on ...) Hook, you still there?","Ну, давай я тебе одразу зупиню — ти дзвониш у невдалий час. Я зараз навіть не в Канталупі. Я на узбережжі Балі. Ми з Сід вирушаємо в круїз, уявляєш? (Що таке, люба? Зачекай...) Хук, ти ще тут?","Ну, давай я тебя сразу остановлю — ты звонишь в неудачное время. Я сейчас даже не в Канталупе. Я на побережье Бали. Мы с Сид отправляемся в круиз, представляешь? (Что такое, дорогая? Погоди...) Хук, ты еще здесь?"
Z,,Hook,Still here.,Ще тут.,Ещё здесь.
Z,,Mike,"Sid asks whether you're back in Cantaloop. Ain't that something? Ha! I told her you'd never be so stupid to go back to the scene of the crime, but she","Сід питає, чи ти повернувся в Канталуп. Ну не дивина? Ха! Я казав їй, що ти ніколи не будеш настільки дурним, щоб повернутися на місце злочину, але вона...","Сид спрашивает, вернулся ли ты в Канталуп. Ну не чудо ли? Ха! Я говорил ей, что ты никогда не будешь настолько глуп, чтобы вернуться на место преступления, но она..."
Z,,Hook,I'm back in Cantaloop.,Я повернувся в Канталуп.,Я вернулся в Канталуп.
Z,,Mike,"Oh, yeah. ОК.","О, так. Ясно.","О, да. Ясно."
